Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:15        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:16           lo     18.37     18.37      5.13      5.13      0.00      0.00      0.00
19:02:16         eth1    127.55    132.65     22.76     24.24      0.00      0.00      0.00
19:02:16         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:16         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:16         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:16        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:02:16        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:17           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:17         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:17         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:17         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:17         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:17        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
