Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:01:47        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:01:48           lo     18.18     18.18      5.07      5.07      0.00      0.00      0.00
19:01:48         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:48         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:48         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:48         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:48        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:01:48        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:01:49           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:49         eth1    174.49    180.61     29.16     35.37      0.00      0.00     37.76
19:01:49         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:49         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:49         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:49        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
