Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:08        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:09           lo     18.37     18.37      5.13      5.13      0.00      0.00      0.00
19:02:09         eth1    200.00    205.10     33.39     39.67      0.00      0.00    113.27
19:02:09         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:09         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:09         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:09        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:02:09        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:10           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:10         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:10         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:10         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:10         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:10        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
