Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

17:25:21        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:25:22           lo     83.84     83.84     94.93     94.93      0.00      0.00      0.00
17:25:22         eth1    267.68    294.95     46.07     54.70      0.00      0.00    112.12
17:25:22         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:22         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:22         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:22        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

17:25:22        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:25:23           lo     33.33     33.33      1.96      1.96      0.00      0.00      0.00
17:25:23         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:23         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:23         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:23         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:23        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

17:25:23        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:25:24           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:24         eth1    144.90    164.29     24.10     26.78      0.00      0.00      0.00
17:25:24         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:24         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:24         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:25:24        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
