Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

16:54:03        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
16:54:04           lo     83.84     83.84     94.89     94.89      0.00      0.00      0.00
16:54:04         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:04         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:04         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:04         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:04        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

16:54:04        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
16:54:05           lo     33.00     33.00      1.94      1.94      0.00      0.00      0.00
16:54:05         eth1    401.00    440.00     68.30     78.93      0.00      0.00      1.00
16:54:05         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:05         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:05         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:05        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

16:54:05        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
16:54:06           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:06         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:06         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:06         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:06         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:54:06        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
