Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:20:24        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:20:25           lo    283.84    283.84    377.21    377.21      0.00      0.00      0.00
05:20:25         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:25         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:25         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:25         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:25        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:20:25        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:20:26           lo    131.63    131.63      7.74      7.74      0.00      0.00      0.00
05:20:26         eth1   1203.06   1415.31    203.89    232.89      0.00      0.00    151.02
05:20:26         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:26         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:26         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:26        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:20:26        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:20:27           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:27         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:27         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:27         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:27         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:27        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
