Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:23:59        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:24:00           lo     18.56     18.56      5.13      5.13      0.00      0.00      0.00
05:24:00         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:00         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:00         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:00         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:00        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:24:00        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:24:01           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:01         eth1    151.02    155.10     24.90     29.82      0.00      0.00      1.02
05:24:01         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:01         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:01         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:24:01        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
