Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

06:11:55        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
06:11:56           lo  12118.18  12118.18 175714.55 175714.55      0.00      0.00      0.00
06:11:56         eth1    680.81    747.47    153.54    129.38      0.00      0.00     74.75
06:11:56         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:56         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:56         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:56        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

06:11:56        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
06:11:57           lo   8292.93   8292.93 145253.33 145253.33      0.00      0.00      0.00
06:11:57         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:57         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:57         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:57         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:57        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

06:11:57        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
06:11:58           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:58         eth1     10.20      7.14      0.66      0.65      0.00      0.00    151.02
06:11:58         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:58         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:58         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:58        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
