Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:47:34        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:47:35           lo  19932.00  19932.00 317744.18 317744.18      0.00      0.00      0.00
05:47:35         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:35         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:35         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:35         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:35        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:47:35        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:47:36           lo    260.82    260.82     13.25     13.25      0.00      0.00      0.00
05:47:36         eth1    697.94    773.20    156.92    133.06      0.00      0.00     38.14
05:47:36         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:36         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:36         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:36        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:47:36        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:47:37           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:37         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:37         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:37         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:37         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:47:37        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
