Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:01:54        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:01:55           lo     18.37     18.37      5.12      5.12      0.00      0.00      0.00
19:01:55         eth1    189.80    195.92     31.92     38.23      0.00      0.00     37.76
19:01:55         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:55         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:55         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:55        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:01:55        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:01:56           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:56         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:56         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:56         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:56         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:01:56        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
