Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:49        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:50           lo     18.37     18.37      5.13      5.13      0.00      0.00      0.00
19:02:50         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:50         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:50         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:50         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:50        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:02:50        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:51           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:51         eth1    281.63    290.82     87.52     53.31      0.00      0.00     37.76
19:02:51         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:51         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:51         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:51        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
